@relation Deitado


@attribute varianciaX real
@attribute mediaX real
@attribute varianciaY real
@attribute mediaY real
@attribute varianciaZ real
@attribute mediaZ real
@attribute categoria {Leve,Moderado,Vigoroso}


@data
2.486565,5.917950,0.349611,0.308030,1.386644,7.540679,Moderado
0.610135,4.675708,0.281609,0.496821,0.144458,8.553812,Moderado
0.906329,4.867975,0.177371,0.367745,0.159958,8.511364,Moderado
1.850513,-0.263027,0.276852,0.513341,0.365604,9.745359,Moderado
0.151896,0.171326,0.024732,0.340657,0.009221,9.879462,Moderado
0.581020,-0.167031,0.029555,0.493558,0.032015,9.831954,Moderado
2.405421,-1.493647,0.083399,0.573124,0.329237,9.709039,Moderado
22.862261,-3.303881,0.485849,0.552638,0.936999,8.001117,Moderado
1.200633,8.603396,0.061457,-1.040161,3.491637,3.922492,Moderado
0.290811,8.979549,0.063188,-0.457532,0.911385,3.563650,Moderado
1.054452,8.421605,0.080136,-0.086403,1.942563,4.613462,Moderado
0.191111,8.423711,0.038740,0.091315,0.331915,4.861379,Moderado
0.427169,8.336563,0.166774,0.243950,1.232225,4.855206,Moderado
6.732283,6.653134,0.412459,0.530151,6.971054,6.120260,Moderado
0.943593,-2.826307,0.064025,0.509462,0.148458,9.420417,Moderado
3.768308,-1.895222,0.173983,0.548836,0.136127,9.504018,Moderado
0.352541,3.730964,0.559678,1.161000,0.287399,9.023582,Moderado
3.028907,6.067793,0.241433,-0.204896,2.936455,7.067205,Vigoroso
6.344659,4.960856,0.132841,0.028730,2.112699,7.911053,Vigoroso
10.155458,4.329363,0.299121,0.431459,2.138070,8.116535,Vigoroso
15.681087,4.524173,0.155797,0.278901,5.483096,7.525351,Vigoroso
13.568174,4.690851,0.325759,0.377509,5.009745,7.502020,Vigoroso
13.872831,4.540340,0.197159,0.369401,3.309146,7.698699,Vigoroso
15.103098,5.588278,0.479936,0.223365,7.279470,6.668955,Vigoroso
10.508437,6.329190,0.128286,0.311997,5.118573,6.382590,Vigoroso
15.038008,5.569296,0.353091,0.612126,8.162903,6.637541,Vigoroso
15.457427,5.722799,0.211568,0.690422,6.877688,6.505116,Vigoroso
14.619616,5.337370,0.197262,0.728627,5.854423,6.966241,Vigoroso
10.583822,3.679505,0.471732,0.670807,1.936336,8.332732,Vigoroso
14.599243,3.400987,0.483049,0.324015,2.837646,8.266615,Vigoroso
9.843444,4.502555,0.442617,0.639369,2.653804,8.014473,Vigoroso
1.254600,8.734718,0.153023,0.397868,3.000122,3.966594,Vigoroso
16.846143,3.548113,0.520780,0.657420,3.414479,8.080407,Vigoroso
