@relation Sentado


@attribute varianciaX real
@attribute mediaX real
@attribute varianciaY real
@attribute mediaY real
@attribute varianciaZ real
@attribute mediaZ real
@attribute categoria {Leve,Moderado,Vigoroso}


@data
0.223619,1.036455,0.057907,-9.453811,0.704098,1.761569,Leve
0.093394,1.217068,0.025315,-9.385342,0.209699,2.209058,Leve
0.054746,1.135744,0.006568,-9.427451,0.156968,2.022162,Leve
0.104079,1.451497,3.089835,-8.606357,0.489525,3.351929,Moderado
0.025823,1.582160,0.030530,-8.986732,0.019770,3.308404,Moderado
0.036724,1.591722,0.030074,-8.985509,0.035096,3.383547,Moderado
0.074770,1.612160,0.018234,-8.994728,0.078615,3.297342,Moderado
0.062454,1.608927,0.021931,-9.015953,0.045227,3.248744,Moderado
0.058369,1.566277,0.016098,-9.090361,0.086751,3.045612,Moderado
0.098050,1.728925,0.053446,-8.982327,0.074906,3.291357,Moderado
0.059467,1.585008,0.025719,-8.949150,0.086315,3.477484,Moderado
0.096188,1.514661,0.076003,-9.132847,0.487812,2.948154,Moderado
0.152010,1.645122,0.079204,-9.104304,0.480901,2.884309,Moderado
0.106474,1.593013,0.028661,-9.049096,0.112553,3.131287,Moderado
0.031714,1.573836,0.013361,-9.107285,0.076230,3.027022,Moderado
0.068184,1.519332,0.014345,-9.045505,0.076626,3.213347,Moderado
0.046108,1.548110,0.018756,-9.075315,0.152300,3.084201,Moderado
0.053943,1.547875,0.025936,-9.071442,0.118385,3.138000,Moderado
0.076556,1.529512,0.011452,-9.030546,0.056662,3.274382,Moderado
0.041438,1.598106,0.019430,-9.074424,0.034323,3.147483,Moderado
0.277658,1.306037,0.094841,-9.197350,0.482076,2.786037,Moderado
0.336828,1.022019,0.085555,-9.199579,0.763121,2.852996,Moderado
0.784401,0.434117,0.095029,-9.288353,0.922755,2.530432,Moderado
0.481615,0.760518,0.092363,-9.047808,0.553420,3.422200,Moderado
0.366368,0.892638,0.132429,-8.937062,0.598652,3.687423,Moderado
0.140798,0.914154,0.040473,-8.913733,0.221738,3.777164,Moderado
0.664265,-0.381779,3.716259,-9.264100,0.737808,0.709139,Vigoroso
0.447285,-0.509390,0.152523,-9.712055,0.736494,0.682874,Vigoroso
0.716905,-0.815663,0.202377,-9.632748,1.311659,0.472141,Vigoroso
0.627398,-0.703249,0.159413,-9.591986,1.034604,0.858489,Vigoroso
0.933415,-0.856238,0.236862,-9.586862,1.401641,0.851450,Vigoroso
1.804123,-0.881138,0.416644,-9.590789,2.957727,0.849942,Vigoroso
2.074379,-0.474803,0.406363,-9.634526,1.769545,0.440838,Vigoroso
1.593918,0.246794,0.110905,-9.512283,0.527538,1.342764,Vigoroso
2.261732,-0.858016,0.551712,-9.519933,1.979693,1.304652,Vigoroso
3.134362,0.884869,0.345014,-9.488597,1.541319,1.894917,Vigoroso
1.667790,1.318337,0.365815,-9.503173,2.252854,0.758305,Vigoroso
